Frec max ch1,Frec max ch2,Frec max ch3,Frec max ch4,label
27.1,25.3,13.6,14.7,99.0
22.0,25.8,22.0,16.2,99.0
27.1,21.8,13.6,15.8,99.0
18.7,29.1,20.0,20.0,99.0
13.6,21.8,21.3,20.2,99.0
17.1,22.7,12.9,12.9,99.0
16.7,23.1,21.3,21.3,99.0
24.7,22.0,22.0,22.0,99.0
13.3,14.2,16.4,14.9,99.0
16.4,14.4,13.3,14.9,99.0
16.4,14.9,14.7,14.9,99.0
16.4,27.8,14.9,14.9,99.0
24.9,14.7,14.7,14.7,99.0
29.1,14.7,14.7,13.8,99.0
14.7,14.7,14.7,13.8,99.0
18.7,22.9,22.9,22.9,99.0
22.9,25.8,22.9,22.9,99.0
22.9,24.7,22.9,22.9,99.0
21.8,25.8,22.9,22.9,99.0
22.9,29.1,16.9,22.9,99.0
16.7,30.4,29.6,16.4,99.0
14.4,30.4,22.2,20.7,99.0
16.2,26.2,22.2,20.7,99.0
29.6,26.2,16.0,16.0,99.0
15.3,30.7,16.4,16.4,99.0
17.3,23.8,15.3,15.3,99.0
13.3,15.3,15.3,15.3,99.0
14.0,22.2,15.6,15.6,99.0
18.2,15.6,14.2,15.6,99.0
18.2,15.1,14.2,14.2,99.0
25.8,14.2,14.2,14.2,99.0
25.8,26.0,14.0,12.9,99.0
27.1,21.3,14.0,14.0,99.0
23.1,25.3,14.0,22.0,99.0
25.6,27.8,25.1,15.8,99.0
25.6,27.8,17.1,15.8,99.0
20.9,28.7,25.1,20.9,99.0
25.1,20.0,25.1,20.9,99.0
17.1,20.0,25.1,20.9,99.0
19.8,20.0,17.1,14.9,99.0
15.3,17.1,17.1,17.1,99.0
24.9,18.7,18.7,19.6,99.0
24.9,13.6,13.6,14.9,99.0
19.6,14.9,14.9,14.9,99.0
18.7,19.8,13.6,14.9,99.0
15.8,15.8,15.8,18.2,99.0
30.2,19.8,19.8,14.9,99.0
21.6,19.8,19.8,18.2,99.0
16.0,16.2,26.7,15.3,99.0
21.3,16.2,16.0,16.2,99.0
18.2,15.3,30.0,15.3,99.0
21.8,19.1,20.7,20.7,99.0
25.6,15.6,13.6,18.2,99.0
29.8,15.6,13.6,15.6,99.0
18.7,15.6,15.6,15.6,99.0
29.8,15.6,17.6,15.6,99.0
15.3,15.6,28.0,15.6,99.0
18.4,15.6,14.0,21.8,99.0
18.4,15.6,28.4,21.8,99.0
14.4,30.2,28.2,14.0,99.0
14.7,30.7,28.2,14.7,99.0
21.3,28.7,14.0,14.0,99.0
21.3,28.2,28.2,18.2,99.0
29.8,22.0,28.4,28.9,99.0
14.2,28.9,28.4,28.4,99.0
28.9,28.9,28.9,28.9,99.0
18.7,29.3,29.6,29.3,99.0
29.8,29.3,29.6,29.3,99.0
18.9,29.3,29.3,29.3,99.0
18.9,14.9,13.3,13.3,99.0
24.4,13.3,13.3,13.3,99.0
27.8,13.3,18.7,15.1,99.0
16.7,18.7,16.0,15.1,99.0
19.8,13.8,19.3,15.1,99.0
24.7,13.8,15.3,13.6,99.0
24.7,13.8,19.3,13.6,99.0
26.0,19.3,16.4,14.9,99.0
16.4,19.3,16.4,16.4,99.0
15.1,16.0,13.3,16.0,99.0
13.3,28.2,13.3,13.3,99.0
15.8,14.2,13.3,16.0,99.0
24.2,16.4,13.3,16.0,99.0
16.0,18.4,16.0,16.0,99.0
13.6,13.8,13.8,14.2,99.0
21.1,21.3,16.4,16.9,99.0
29.6,15.3,16.4,15.3,99.0
17.6,17.6,17.6,17.6,99.0
18.0,15.3,16.2,15.3,99.0
16.2,15.3,16.2,16.2,99.0
16.2,16.0,16.2,16.0,99.0
16.0,15.3,16.0,16.0,99.0
20.9,16.0,16.0,16.0,99.0
19.6,15.3,16.0,16.0,99.0
28.0,17.3,17.3,18.9,99.0
18.0,13.8,13.1,13.8,99.0
20.9,19.1,14.2,15.8,99.0
19.1,25.6,16.0,12.7,99.0
19.1,16.0,16.0,12.7,99.0
16.0,16.0,16.0,16.0,99.0
16.0,16.0,16.0,16.0,99.0
16.0,16.0,16.0,16.0,99.0
18.9,13.6,17.3,15.6,99.0
18.9,24.9,24.9,24.9,99.0
12.9,24.9,24.9,24.9,99.0
28.7,24.7,23.3,23.3,99.0
28.9,24.7,23.3,29.1,99.0
28.9,24.7,16.2,26.4,99.0
28.9,25.6,25.6,28.9,99.0
19.8,16.0,16.2,28.9,99.0
19.8,16.0,16.2,15.8,99.0
19.8,15.8,15.8,15.8,99.0
15.8,15.8,15.8,15.8,99.0
21.6,15.8,15.8,15.8,99.0
21.6,15.8,15.6,15.6,99.0
15.6,15.8,15.6,15.6,99.0
15.6,26.0,15.6,15.6,99.0
15.6,26.9,14.2,15.6,99.0
14.2,22.2,16.2,15.6,99.0
19.3,22.2,14.0,15.6,99.0
24.0,22.2,14.0,14.0,99.0
18.4,27.1,14.0,14.0,99.0
14.0,22.0,19.1,24.9,99.0
25.3,20.7,15.3,15.3,99.0
25.3,20.7,12.9,12.9,99.0
28.0,14.2,13.8,13.1,99.0
28.0,14.2,13.1,13.1,99.0
28.0,14.2,14.2,13.1,99.0
28.0,14.2,14.2,21.3,99.0
21.6,14.2,14.2,14.0,99.0
21.6,14.2,13.3,13.3,99.0
14.9,14.0,14.0,14.2,99.0
15.6,19.6,17.6,14.2,99.0
18.7,15.3,15.3,18.9,99.0
23.6,21.1,21.1,23.6,99.0
17.6,21.1,15.1,13.1,99.0
17.6,14.2,14.2,14.2,99.0
17.6,14.2,14.2,14.2,99.0
14.2,13.1,13.1,13.1,99.0
17.8,30.2,13.1,13.1,99.0
17.8,30.2,14.2,14.2,99.0
14.2,14.2,14.2,14.2,99.0
20.0,15.8,15.8,15.8,99.0
15.3,14.2,14.2,24.9,99.0
15.3,24.9,24.9,24.9,99.0
14.2,18.4,14.2,25.3,99.0
14.2,25.1,18.4,18.4,99.0
16.4,25.1,16.4,17.1,99.0
17.1,14.0,14.0,17.1,99.0
14.0,17.1,14.0,17.1,99.0
17.1,14.0,14.0,18.9,99.0
17.1,14.9,17.3,17.3,99.0
17.1,14.9,17.1,17.1,99.0
14.7,14.7,14.7,17.8,99.0
18.7,14.7,14.7,19.3,99.0
14.7,14.7,14.7,19.3,99.0
15.6,14.7,14.7,15.6,99.0
26.0,30.0,30.0,13.8,99.0
24.4,30.0,16.2,30.0,99.0
23.1,26.7,16.2,12.9,99.0
29.6,26.7,21.6,13.1,99.0
14.9,26.7,13.1,13.1,99.0
17.8,26.0,17.8,17.8,99.0
17.8,17.8,17.8,13.1,99.0
17.6,26.4,20.9,13.1,99.0
17.6,22.7,17.6,20.4,99.0
17.6,21.1,21.1,12.9,99.0
17.6,21.1,21.1,17.6,99.0
17.6,21.6,25.6,25.6,99.0
17.6,16.4,16.4,14.2,99.0
17.6,14.0,14.2,14.2,99.0
14.7,16.9,14.2,16.9,99.0
14.7,16.7,14.0,16.9,99.0
14.7,16.7,14.0,16.9,99.0
14.4,15.1,16.9,16.9,99.0
15.1,15.1,15.1,15.1,99.0
15.6,29.8,17.6,17.6,99.0
15.6,22.9,15.6,17.6,99.0
16.0,26.0,17.6,17.6,99.0
15.3,26.0,17.6,17.6,99.0
15.8,29.8,15.8,21.1,99.0
15.8,20.4,15.8,15.8,99.0
15.8,21.8,20.4,17.3,99.0
15.6,21.8,12.9,12.7,99.0
15.8,30.0,15.8,14.2,99.0
18.0,21.3,14.2,14.2,99.0
16.0,28.0,16.4,14.2,99.0
15.6,24.7,15.1,14.2,99.0
16.4,24.7,16.4,14.2,99.0
15.6,20.4,19.6,14.0,99.0
16.4,24.7,14.9,14.9,99.0
16.4,14.7,14.7,14.0,99.0
22.0,14.7,14.7,14.7,99.0
16.2,17.8,14.7,17.8,99.0
12.9,17.8,14.4,14.4,99.0
12.9,17.8,17.8,17.8,99.0
25.8,12.9,17.8,19.3,99.0
16.0,18.0,24.0,14.4,99.0
16.0,23.6,14.7,14.4,99.0
16.0,22.2,12.9,16.0,99.0
16.0,18.9,18.7,18.9,99.0
13.8,27.8,27.8,25.6,99.0
28.2,25.6,30.2,28.2,99.0
26.2,28.0,28.0,13.8,99.0
28.2,13.3,13.3,13.8,99.0
30.7,32.2,26.2,32.2,99.0
30.7,32.2,24.4,32.2,99.0
30.7,32.2,29.6,30.4,99.0
28.4,30.4,16.2,14.4,99.0
15.1,15.1,16.2,15.3,99.0
14.7,16.2,16.2,15.3,99.0
16.7,16.2,16.2,16.7,99.0
16.7,16.2,20.2,14.7,99.0
19.1,12.9,15.1,12.9,99.0
14.7,14.7,14.7,14.7,99.0
16.0,14.9,20.2,14.0,99.0
15.6,14.9,14.9,14.2,99.0
14.2,14.2,14.9,14.2,99.0
21.1,14.2,14.2,14.2,99.0
13.6,14.4,13.6,14.4,99.0
13.6,14.4,14.4,14.4,99.0
13.3,14.4,13.3,16.2,99.0
13.3,13.3,13.3,15.1,99.0
12.4,26.0,15.6,15.6,99.0
13.6,19.3,19.3,19.3,99.0
13.6,26.0,19.3,19.3,99.0
13.6,15.1,15.1,15.1,99.0
14.9,19.3,15.3,15.3,99.0
